method,stress_level,mean_auroc,ci95_auroc,mean_average_precision,ci95_average_precision,mean_brier,ci95_brier,mean_ece,ci95_ece,mean_early_recall,ci95_early_recall,mean_false_alarm_rate,ci95_false_alarm_rate,mean_mean_lead_time,ci95_mean_lead_time,mean_grasp_success,ci95_grasp_success,mean_gross_slip,ci95_gross_slip,mean_damage,ci95_damage,mean_control_cost,ci95_control_cost,mean_alarm_rate,ci95_alarm_rate,units
ensemble_uncertainty_guard,0.00,0.55719,0.02721,0.63733,0.03177,0.25694,0.00627,0.15891,0.01653,0.46219,0.05056,0.39597,0.04885,0.03198,0.00350,0.48661,0.02050,0.44133,0.02776,0.17722,0.01500,0.78878,0.02699,0.43304,0.04588,28
ensemble_uncertainty_guard,0.20,0.58731,0.03105,0.70283,0.03232,0.24495,0.00716,0.15528,0.01835,0.58461,0.05089,0.46675,0.04681,0.04009,0.00349,0.47704,0.02121,0.49362,0.02293,0.20843,0.01536,0.85343,0.02682,0.53954,0.04531,28
ensemble_uncertainty_guard,0.40,0.53763,0.02860,0.65567,0.03850,0.24974,0.00767,0.14393,0.01900,0.66244,0.05207,0.61097,0.04789,0.04497,0.00354,0.46939,0.03210,0.51212,0.03514,0.23833,0.01837,0.91919,0.02892,0.64286,0.04742,28
ensemble_uncertainty_guard,0.60,0.51766,0.03090,0.67488,0.03032,0.24616,0.00684,0.15133,0.01923,0.74655,0.03569,0.73731,0.05357,0.05024,0.00240,0.42793,0.03991,0.56760,0.04055,0.26918,0.01775,0.98316,0.02341,0.74298,0.03534,28
ensemble_uncertainty_guard,0.80,0.55186,0.03220,0.73731,0.03557,0.22525,0.00922,0.15343,0.01289,0.84123,0.02753,0.79471,0.04051,0.05605,0.00183,0.36352,0.04875,0.63520,0.04915,0.29992,0.01945,1.04068,0.01969,0.82462,0.02760,28
ensemble_uncertainty_guard,1.00,0.54714,0.03103,0.76301,0.03691,0.21592,0.01113,0.14483,0.01416,0.88138,0.02439,0.86633,0.03594,0.05817,0.00161,0.23533,0.03903,0.76467,0.03903,0.33040,0.01979,1.08366,0.01654,0.87628,0.02212,28
friction_cone_margin,0.00,0.53041,0.03320,0.62509,0.03575,0.28785,0.00847,0.22789,0.01903,0.15314,0.03347,0.12751,0.02890,0.00907,0.00199,0.25893,0.03095,0.65242,0.04231,0.11906,0.00682,0.49643,0.01648,0.14286,0.02718,28
friction_cone_margin,0.20,0.55551,0.03217,0.67450,0.03400,0.28150,0.00916,0.22264,0.01897,0.23666,0.03563,0.19825,0.03745,0.01386,0.00209,0.25957,0.02498,0.70536,0.02798,0.13798,0.00617,0.54486,0.01787,0.22258,0.02939,28
friction_cone_margin,0.40,0.52346,0.02424,0.64347,0.03135,0.27564,0.00621,0.20566,0.01913,0.30677,0.04102,0.28019,0.04294,0.01776,0.00238,0.26339,0.02575,0.71556,0.02936,0.15450,0.00762,0.59282,0.02145,0.29719,0.03445,28
friction_cone_margin,0.60,0.52824,0.03196,0.69671,0.03195,0.26732,0.00927,0.20336,0.01856,0.41327,0.04776,0.35056,0.04766,0.02367,0.00273,0.26722,0.02245,0.72321,0.02344,0.17297,0.00868,0.65027,0.02473,0.38967,0.03985,28
friction_cone_margin,0.80,0.52442,0.03045,0.72239,0.03400,0.25713,0.00895,0.21008,0.01747,0.50864,0.04042,0.45994,0.05386,0.02880,0.00229,0.27934,0.03256,0.71747,0.03310,0.19357,0.01004,0.71464,0.02403,0.49362,0.03837,28
friction_cone_margin,1.00,0.52155,0.03882,0.74837,0.03942,0.24839,0.01132,0.21921,0.02177,0.56825,0.03758,0.54362,0.05272,0.03183,0.00211,0.22321,0.03182,0.77551,0.03217,0.21523,0.01001,0.76345,0.01868,0.56633,0.02857,28
optical_tactile_classifier,0.00,0.57789,0.02825,0.65815,0.03516,0.24493,0.00366,0.12261,0.01967,0.00683,0.00600,0.27958,0.04068,0.01517,0.00153,0.29783,0.04973,0.62946,0.06159,0.15084,0.00755,0.62177,0.02030,0.34375,0.03544,28
optical_tactile_classifier,0.20,0.54632,0.02172,0.67878,0.02758,0.24474,0.00370,0.12437,0.01759,0.00000,0.00000,0.34429,0.04149,0.01593,0.00173,0.21684,0.04163,0.75255,0.04731,0.16897,0.00549,0.64700,0.02200,0.38584,0.03867,28
optical_tactile_classifier,0.40,0.54155,0.02794,0.66620,0.03256,0.24371,0.00445,0.12545,0.01963,0.00000,0.00000,0.42196,0.03591,0.01818,0.00157,0.17219,0.03824,0.81122,0.04250,0.18716,0.00621,0.68701,0.01856,0.45727,0.03217,28
optical_tactile_classifier,0.60,0.53351,0.03310,0.68900,0.03484,0.24198,0.00490,0.14108,0.02054,0.00000,0.00000,0.45358,0.05013,0.01867,0.00152,0.10268,0.02274,0.88967,0.02482,0.19935,0.00599,0.70346,0.01996,0.48406,0.03422,28
optical_tactile_classifier,0.80,0.53225,0.03112,0.72724,0.03044,0.23455,0.00503,0.15187,0.02468,0.00000,0.00000,0.52073,0.03861,0.02030,0.00149,0.06122,0.01445,0.93622,0.01584,0.21504,0.00678,0.73795,0.01912,0.54273,0.03277,28
optical_tactile_classifier,1.00,0.55763,0.03202,0.76949,0.03210,0.22550,0.00517,0.17137,0.02644,0.00000,0.00000,0.50759,0.04630,0.02169,0.00139,0.02870,0.01055,0.97066,0.01113,0.22475,0.00732,0.75625,0.02019,0.57207,0.03423,28
