method,stress_level,mean_auroc,ci95_auroc,mean_average_precision,ci95_average_precision,mean_brier,ci95_brier,mean_ece,ci95_ece,mean_early_recall,ci95_early_recall,mean_false_alarm_rate,ci95_false_alarm_rate,mean_mean_lead_time,ci95_mean_lead_time,mean_grasp_success,ci95_grasp_success,mean_gross_slip,ci95_gross_slip,mean_damage,ci95_damage,mean_control_cost,ci95_control_cost,mean_alarm_rate,ci95_alarm_rate,units
oracle_precontact_risk,0.00,0.62419,0.02700,0.69277,0.03333,0.23192,0.00547,0.10580,0.01531,0.80039,0.03882,0.65354,0.07525,0.17877,0.00849,0.86735,0.02186,0.04273,0.01100,0.17383,0.01343,0.86447,0.03283,0.73597,0.05305,28
oracle_precontact_risk,0.20,0.64608,0.02551,0.74868,0.02530,0.22180,0.00601,0.09555,0.01313,0.89057,0.02916,0.75002,0.05018,0.19921,0.00593,0.90115,0.02118,0.06122,0.01159,0.19682,0.01190,0.92938,0.02460,0.83482,0.03567,28
oracle_precontact_risk,0.40,0.60514,0.03154,0.71900,0.02899,0.22904,0.00762,0.09379,0.01212,0.91481,0.02550,0.84171,0.03931,0.20387,0.00546,0.89158,0.01358,0.08355,0.01181,0.21326,0.01299,0.96664,0.02134,0.88457,0.02715,28
oracle_precontact_risk,0.60,0.59340,0.02767,0.72607,0.02757,0.22368,0.00854,0.10230,0.01617,0.95806,0.01653,0.93121,0.02892,0.21243,0.00348,0.89477,0.02356,0.09439,0.02487,0.23055,0.01292,1.01279,0.01542,0.94707,0.01796,28
oracle_precontact_risk,0.80,0.62545,0.03098,0.79033,0.02667,0.20563,0.00957,0.10810,0.01391,0.98210,0.00853,0.95616,0.02176,0.21695,0.00206,0.85459,0.04159,0.14222,0.04277,0.24612,0.01443,1.03993,0.01141,0.97321,0.00944,28
oracle_precontact_risk,1.00,0.60417,0.02887,0.79804,0.03258,0.19547,0.01248,0.09543,0.01456,0.99624,0.00352,0.96761,0.02097,0.21931,0.00135,0.76212,0.04917,0.23661,0.04912,0.26524,0.01552,1.06449,0.00825,0.98916,0.00488,28
proposed_precontact_microslip,0.00,0.55852,0.02555,0.64939,0.03320,0.25262,0.00620,0.13057,0.01864,0.37764,0.06818,0.29997,0.06925,0.04415,0.00797,0.41390,0.03290,0.50510,0.03164,0.14259,0.01264,0.62451,0.03947,0.34439,0.06733,28
proposed_precontact_microslip,0.20,0.53419,0.03208,0.66206,0.02978,0.25184,0.00717,0.16670,0.02147,0.47946,0.06714,0.43182,0.06411,0.05505,0.00770,0.40625,0.03037,0.56122,0.02721,0.16852,0.01268,0.69330,0.03790,0.46046,0.06373,28
proposed_precontact_microslip,0.40,0.53268,0.02685,0.65760,0.03291,0.24728,0.00663,0.13534,0.01348,0.58331,0.06374,0.55432,0.07501,0.06563,0.00717,0.40434,0.02390,0.57398,0.02303,0.19185,0.01484,0.76094,0.03912,0.57143,0.06377,28
proposed_precontact_microslip,0.60,0.50630,0.03241,0.67919,0.02531,0.24383,0.00572,0.13864,0.01885,0.68792,0.04959,0.65336,0.06673,0.07598,0.00547,0.37117,0.02750,0.61990,0.02811,0.21575,0.01502,0.82246,0.03413,0.67092,0.05290,28
proposed_precontact_microslip,0.80,0.53939,0.03323,0.73755,0.03286,0.22649,0.00900,0.14716,0.01969,0.78222,0.04330,0.74097,0.05752,0.08459,0.00467,0.32143,0.03832,0.67602,0.03914,0.24131,0.01620,0.88342,0.03027,0.76467,0.04490,28
proposed_precontact_microslip,1.00,0.53270,0.03683,0.76101,0.03034,0.21459,0.01050,0.14850,0.01746,0.84897,0.03498,0.80033,0.04927,0.08999,0.00371,0.20727,0.03345,0.79273,0.03345,0.26799,0.01538,0.93153,0.02486,0.83418,0.03476,28
tactile_temporal_filter,0.00,0.51379,0.03413,0.61341,0.03720,0.25325,0.00327,0.12455,0.02203,0.00000,0.00000,0.21201,0.03827,0.00247,0.00046,0.25638,0.04476,0.66773,0.05736,0.14105,0.00842,0.60283,0.02084,0.23342,0.03746,28
tactile_temporal_filter,0.20,0.53475,0.02877,0.65985,0.03606,0.25115,0.00300,0.14636,0.01996,0.00000,0.00000,0.22723,0.04606,0.00270,0.00047,0.18559,0.03664,0.78635,0.04083,0.15490,0.00761,0.61373,0.02246,0.25383,0.04091,28
tactile_temporal_filter,0.40,0.51952,0.02911,0.65004,0.03367,0.25310,0.00362,0.13941,0.02390,0.00000,0.00000,0.24617,0.03771,0.00272,0.00046,0.12436,0.02966,0.85395,0.03430,0.16359,0.00870,0.61794,0.02030,0.26148,0.03633,28
tactile_temporal_filter,0.60,0.51260,0.02183,0.67782,0.03038,0.25496,0.00323,0.16928,0.02547,0.00000,0.00000,0.22208,0.04263,0.00251,0.00038,0.05931,0.01590,0.93048,0.01711,0.16640,0.00758,0.60728,0.01911,0.24171,0.03413,28
tactile_temporal_filter,0.80,0.50773,0.03057,0.70828,0.03183,0.25594,0.00406,0.20526,0.02795,0.00000,0.00000,0.24117,0.04744,0.00261,0.00039,0.03189,0.00975,0.96620,0.01070,0.17224,0.00815,0.61313,0.02016,0.25255,0.03595,28
tactile_temporal_filter,1.00,0.48181,0.03291,0.73547,0.03871,0.25945,0.00483,0.23900,0.02647,0.00000,0.00000,0.23709,0.05742,0.00253,0.00036,0.01722,0.00731,0.98214,0.00764,0.17419,0.00830,0.61164,0.01900,0.25000,0.03392,28
