stress_level,method,metric,mean,ci95,n
0.0,calibrated_precontact_microslip_v5,auroc,0.548378,0.012573,10
0.0,calibrated_precontact_microslip_v5,average_precision,0.679550,0.016219,10
0.0,calibrated_precontact_microslip_v5,control_chatter,0.112035,0.001530,10
0.0,calibrated_precontact_microslip_v5,damage_rate,0.084722,0.007450,10
0.0,calibrated_precontact_microslip_v5,early_recall,0.874283,0.013075,10
0.0,calibrated_precontact_microslip_v5,ece,0.097675,0.010081,10
0.0,calibrated_precontact_microslip_v5,false_alarm_rate,0.836801,0.017451,10
0.0,calibrated_precontact_microslip_v5,gross_slip,0.355556,0.009325,10
0.0,calibrated_precontact_microslip_v5,intervention_cost,0.318267,0.002939,10
0.0,calibrated_precontact_microslip_v5,lead_time_margin,0.600894,0.002568,10
0.0,calibrated_precontact_microslip_v5,recovery_success,0.205556,0.013508,10
0.0,calibrated_precontact_microslip_v5,robust_utility,0.044258,0.018778,10
0.0,calibrated_precontact_microslip_v5,task_success,0.367222,0.015754,10
0.0,conformal_precontact_risk,auroc,0.558800,0.019980,10
0.0,conformal_precontact_risk,average_precision,0.685376,0.017765,10
0.0,conformal_precontact_risk,control_chatter,0.053610,0.001179,10
0.0,conformal_precontact_risk,damage_rate,0.101667,0.015846,10
0.0,conformal_precontact_risk,early_recall,0.735740,0.014717,10
0.0,conformal_precontact_risk,ece,0.097130,0.011723,10
0.0,conformal_precontact_risk,false_alarm_rate,0.676135,0.022559,10
0.0,conformal_precontact_risk,gross_slip,0.406111,0.011386,10
0.0,conformal_precontact_risk,intervention_cost,0.211514,0.002281,10
0.0,conformal_precontact_risk,lead_time_margin,0.546772,0.003002,10
0.0,conformal_precontact_risk,recovery_success,0.123889,0.011310,10
0.0,conformal_precontact_risk,robust_utility,-0.041989,0.016566,10
0.0,conformal_precontact_risk,task_success,0.278056,0.014821,10
0.0,ensemble_uncertainty_guard,auroc,0.556271,0.017997,10
0.0,ensemble_uncertainty_guard,average_precision,0.683189,0.017507,10
0.0,ensemble_uncertainty_guard,control_chatter,0.166725,0.001801,10
0.0,ensemble_uncertainty_guard,damage_rate,0.090000,0.010773,10
0.0,ensemble_uncertainty_guard,early_recall,0.977037,0.003952,10
0.0,ensemble_uncertainty_guard,ece,0.115252,0.008480,10
0.0,ensemble_uncertainty_guard,false_alarm_rate,0.949763,0.010685,10
0.0,ensemble_uncertainty_guard,gross_slip,0.338611,0.012818,10
0.0,ensemble_uncertainty_guard,intervention_cost,0.452592,0.003328,10
0.0,ensemble_uncertainty_guard,lead_time_margin,0.602855,0.002573,10
0.0,ensemble_uncertainty_guard,recovery_success,0.228056,0.012480,10
0.0,ensemble_uncertainty_guard,robust_utility,0.020383,0.011504,10
0.0,ensemble_uncertainty_guard,task_success,0.373611,0.010210,10
0.0,force_derivative_detector,auroc,0.510100,0.013934,10
0.0,force_derivative_detector,average_precision,0.647615,0.019275,10
0.0,force_derivative_detector,control_chatter,0.026898,0.001021,10
0.0,force_derivative_detector,damage_rate,0.118889,0.012955,10
0.0,force_derivative_detector,early_recall,0.357079,0.014619,10
0.0,force_derivative_detector,ece,0.219031,0.011885,10
0.0,force_derivative_detector,false_alarm_rate,0.348383,0.019653,10
0.0,force_derivative_detector,gross_slip,0.475000,0.018649,10
0.0,force_derivative_detector,intervention_cost,0.103858,0.002104,10
0.0,force_derivative_detector,lead_time_margin,0.495773,0.003559,10
0.0,force_derivative_detector,recovery_success,0.034167,0.004142,10
0.0,force_derivative_detector,robust_utility,-0.124640,0.018755,10
0.0,force_derivative_detector,task_success,0.194722,0.015621,10
0.0,friction_cone_margin,auroc,0.536221,0.021327,10
0.0,friction_cone_margin,average_precision,0.666209,0.021773,10
0.0,friction_cone_margin,control_chatter,0.082647,0.001589,10
0.0,friction_cone_margin,damage_rate,0.089167,0.005649,10
0.0,friction_cone_margin,early_recall,0.793642,0.011814,10
0.0,friction_cone_margin,ece,0.115342,0.009263,10
0.0,friction_cone_margin,false_alarm_rate,0.753156,0.028770,10
0.0,friction_cone_margin,gross_slip,0.402222,0.012142,10
0.0,friction_cone_margin,intervention_cost,0.251763,0.003331,10
0.0,friction_cone_margin,lead_time_margin,0.540688,0.002645,10
0.0,friction_cone_margin,recovery_success,0.145556,0.007960,10
0.0,friction_cone_margin,robust_utility,-0.038910,0.008718,10
0.0,friction_cone_margin,task_success,0.288611,0.010184,10
0.0,mpc_grip_stabilizer,auroc,0.544057,0.018055,10
0.0,mpc_grip_stabilizer,average_precision,0.675937,0.018895,10
0.0,mpc_grip_stabilizer,control_chatter,0.070638,0.001750,10
0.0,mpc_grip_stabilizer,damage_rate,0.092222,0.012142,10
0.0,mpc_grip_stabilizer,early_recall,0.769663,0.011539,10
0.0,mpc_grip_stabilizer,ece,0.097509,0.010958,10
0.0,mpc_grip_stabilizer,false_alarm_rate,0.718588,0.028976,10
0.0,mpc_grip_stabilizer,gross_slip,0.354444,0.014636,10
0.0,mpc_grip_stabilizer,intervention_cost,0.282499,0.005262,10
0.0,mpc_grip_stabilizer,lead_time_margin,0.580134,0.003624,10
0.0,mpc_grip_stabilizer,recovery_success,0.198056,0.013436,10
0.0,mpc_grip_stabilizer,robust_utility,0.039297,0.016380,10
0.0,mpc_grip_stabilizer,task_success,0.347500,0.014931,10
0.0,normal_force_threshold,auroc,0.499520,0.018237,10
0.0,normal_force_threshold,average_precision,0.651898,0.022824,10
0.0,normal_force_threshold,control_chatter,0.008769,0.000939,10
0.0,normal_force_threshold,damage_rate,0.125000,0.005909,10
0.0,normal_force_threshold,early_recall,0.141319,0.014304,10
0.0,normal_force_threshold,ece,0.321279,0.015666,10
0.0,normal_force_threshold,false_alarm_rate,0.131567,0.017927,10
0.0,normal_force_threshold,gross_slip,0.513889,0.010828,10
0.0,normal_force_threshold,intervention_cost,0.063613,0.002265,10
0.0,normal_force_threshold,lead_time_margin,0.458809,0.009194,10
0.0,normal_force_threshold,recovery_success,0.011945,0.003448,10
0.0,normal_force_threshold,robust_utility,-0.158816,0.007518,10
0.0,normal_force_threshold,task_success,0.160278,0.008199,10
0.0,optical_tactile_classifier,auroc,0.562342,0.018106,10
0.0,optical_tactile_classifier,average_precision,0.684464,0.014855,10
0.0,optical_tactile_classifier,control_chatter,0.092621,0.001844,10
0.0,optical_tactile_classifier,damage_rate,0.093056,0.008207,10
0.0,optical_tactile_classifier,early_recall,0.939696,0.009405,10
0.0,optical_tactile_classifier,ece,0.165053,0.014786,10
0.0,optical_tactile_classifier,false_alarm_rate,0.901778,0.019398,10
0.0,optical_tactile_classifier,gross_slip,0.408056,0.012427,10
0.0,optical_tactile_classifier,intervention_cost,0.272956,0.003322,10
0.0,optical_tactile_classifier,lead_time_margin,0.541569,0.002012,10
0.0,optical_tactile_classifier,recovery_success,0.136945,0.009432,10
0.0,optical_tactile_classifier,robust_utility,-0.070944,0.015177,10
0.0,optical_tactile_classifier,task_success,0.274445,0.012410,10
0.0,oracle_precontact_risk,auroc,0.615105,0.017378,10
0.0,oracle_precontact_risk,average_precision,0.731853,0.021559,10
0.0,oracle_precontact_risk,control_chatter,0.065714,0.001728,10
0.0,oracle_precontact_risk,damage_rate,0.056111,0.005897,10
0.0,oracle_precontact_risk,early_recall,0.905770,0.012308,10
0.0,oracle_precontact_risk,ece,0.044658,0.009467,10
0.0,oracle_precontact_risk,false_alarm_rate,0.822844,0.022853,10
0.0,oracle_precontact_risk,gross_slip,0.209167,0.018756,10
0.0,oracle_precontact_risk,intervention_cost,0.285985,0.004087,10
0.0,oracle_precontact_risk,lead_time_margin,0.637402,0.002708,10
0.0,oracle_precontact_risk,recovery_success,0.388889,0.014586,10
0.0,oracle_precontact_risk,robust_utility,0.346907,0.015391,10
0.0,oracle_precontact_risk,task_success,0.576389,0.013118,10
0.0,particle_friction_belief,auroc,0.538898,0.025073,10
0.0,particle_friction_belief,average_precision,0.674915,0.020781,10
0.0,particle_friction_belief,control_chatter,0.086868,0.001094,10
0.0,particle_friction_belief,damage_rate,0.090000,0.007131,10
0.0,particle_friction_belief,early_recall,0.889183,0.013837,10
0.0,particle_friction_belief,ece,0.101650,0.016410,10
0.0,particle_friction_belief,false_alarm_rate,0.836796,0.017286,10
0.0,particle_friction_belief,gross_slip,0.378333,0.016329,10
0.0,particle_friction_belief,intervention_cost,0.267326,0.002020,10
