split,comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,average_precision,-0.018147,0.019141,-0.037288,0.000995,3,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,auroc,-0.023495,0.027921,-0.051417,0.004426,4,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,ece,-0.137953,0.014109,-0.152062,-0.123843,0,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,early_recall,0.446088,0.022696,0.423392,0.468783,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,false_alarm_rate,0.537753,0.033850,0.503904,0.571603,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,lead_time_margin,0.045001,0.003613,0.041388,0.048615,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,task_success,0.165104,0.023181,0.141923,0.188286,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,gross_slip,-0.176563,0.033182,-0.209745,-0.143381,0,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,damage_rate,-0.022917,0.016822,-0.039739,-0.006094,3,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,intervention_cost,0.198314,0.005365,0.192949,0.203679,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,control_chatter,0.093528,0.002648,0.090880,0.096176,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,recovery_success,0.166146,0.018541,0.147605,0.184687,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_vision_gap_threshold,robust_utility,0.197763,0.030297,0.167466,0.228060,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,average_precision,0.004432,0.028877,-0.024445,0.033309,6,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,auroc,0.030453,0.047470,-0.017017,0.077924,8,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,ece,-0.349679,0.023845,-0.373524,-0.325834,0,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,early_recall,0.742114,0.033468,0.708647,0.775582,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,false_alarm_rate,0.779551,0.048137,0.731414,0.827687,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,lead_time_margin,0.140183,0.006171,0.134012,0.146354,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,task_success,0.213021,0.021865,0.191156,0.234886,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,gross_slip,-0.229167,0.031885,-0.261051,-0.197282,0,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,damage_rate,-0.045312,0.016534,-0.061847,-0.028778,0,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,intervention_cost,0.260749,0.006024,0.254725,0.266773,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,control_chatter,0.122819,0.002937,0.119882,0.125756,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,recovery_success,0.220833,0.018147,0.202687,0.238980,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_normal_force_threshold,robust_utility,0.258752,0.033173,0.225579,0.291926,10,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_force_derivative_detector,average_precision,0.012268,0.017551,-0.005283,0.029818,6,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_force_derivative_detector,auroc,0.046631,0.031332,0.015299,0.077963,7,10
combined_hard_shift,calibrated_precontact_microslip_v5_minus_force_derivative_detector,ece,-0.219868,0.021063,-0.240931,-0.198805,0,10
