split,method,metric,mean,ci95,n
combined_hard_shift,calibrated_precontact_microslip_v5,auroc,0.545563,0.031147,10
combined_hard_shift,calibrated_precontact_microslip_v5,average_precision,0.826421,0.021556,10
combined_hard_shift,calibrated_precontact_microslip_v5,control_chatter,0.135128,0.002663,10
combined_hard_shift,calibrated_precontact_microslip_v5,damage_rate,0.097396,0.011393,10
combined_hard_shift,calibrated_precontact_microslip_v5,early_recall,0.965469,0.013116,10
combined_hard_shift,calibrated_precontact_microslip_v5,ece,0.093896,0.014379,10
combined_hard_shift,calibrated_precontact_microslip_v5,false_alarm_rate,0.958831,0.019142,10
combined_hard_shift,calibrated_precontact_microslip_v5,gross_slip,0.438542,0.021348,10
combined_hard_shift,calibrated_precontact_microslip_v5,intervention_cost,0.344612,0.004883,10
combined_hard_shift,calibrated_precontact_microslip_v5,lead_time_margin,0.316906,0.002598,10
combined_hard_shift,calibrated_precontact_microslip_v5,recovery_success,0.232292,0.017095,10
combined_hard_shift,calibrated_precontact_microslip_v5,robust_utility,-0.057657,0.020001,10
combined_hard_shift,calibrated_precontact_microslip_v5,task_success,0.298958,0.017364,10
combined_hard_shift,conformal_precontact_risk,auroc,0.553024,0.022535,10
combined_hard_shift,conformal_precontact_risk,average_precision,0.824304,0.011616,10
combined_hard_shift,conformal_precontact_risk,control_chatter,0.061295,0.001594,10
combined_hard_shift,conformal_precontact_risk,damage_rate,0.107292,0.014926,10
combined_hard_shift,conformal_precontact_risk,early_recall,0.855979,0.016935,10
combined_hard_shift,conformal_precontact_risk,ece,0.092527,0.011233,10
combined_hard_shift,conformal_precontact_risk,false_alarm_rate,0.790061,0.049760,10
combined_hard_shift,conformal_precontact_risk,gross_slip,0.495833,0.018249,10
combined_hard_shift,conformal_precontact_risk,intervention_cost,0.238162,0.004107,10
combined_hard_shift,conformal_precontact_risk,lead_time_margin,0.265765,0.002671,10
combined_hard_shift,conformal_precontact_risk,recovery_success,0.156771,0.010915,10
combined_hard_shift,conformal_precontact_risk,robust_utility,-0.124624,0.014671,10
combined_hard_shift,conformal_precontact_risk,task_success,0.231771,0.011208,10
combined_hard_shift,ensemble_uncertainty_guard,auroc,0.529725,0.022575,10
combined_hard_shift,ensemble_uncertainty_guard,average_precision,0.824624,0.014379,10
combined_hard_shift,ensemble_uncertainty_guard,control_chatter,0.190338,0.001895,10
combined_hard_shift,ensemble_uncertainty_guard,damage_rate,0.086979,0.007767,10
combined_hard_shift,ensemble_uncertainty_guard,early_recall,0.994217,0.004001,10
combined_hard_shift,ensemble_uncertainty_guard,ece,0.113922,0.010464,10
combined_hard_shift,ensemble_uncertainty_guard,false_alarm_rate,0.991988,0.008030,10
combined_hard_shift,ensemble_uncertainty_guard,gross_slip,0.436979,0.022233,10
combined_hard_shift,ensemble_uncertainty_guard,intervention_cost,0.454597,0.002671,10
combined_hard_shift,ensemble_uncertainty_guard,lead_time_margin,0.317600,0.002569,10
combined_hard_shift,ensemble_uncertainty_guard,recovery_success,0.224479,0.017711,10
combined_hard_shift,ensemble_uncertainty_guard,robust_utility,-0.091351,0.017592,10
combined_hard_shift,ensemble_uncertainty_guard,task_success,0.286458,0.015888,10
combined_hard_shift,force_derivative_detector,auroc,0.498932,0.030711,10
combined_hard_shift,force_derivative_detector,average_precision,0.814153,0.013138,10
combined_hard_shift,force_derivative_detector,control_chatter,0.033977,0.002001,10
combined_hard_shift,force_derivative_detector,damage_rate,0.136979,0.014280,10
combined_hard_shift,force_derivative_detector,early_recall,0.456986,0.028661,10
combined_hard_shift,force_derivative_detector,ece,0.313765,0.021006,10
combined_hard_shift,force_derivative_detector,false_alarm_rate,0.460530,0.054363,10
combined_hard_shift,force_derivative_detector,gross_slip,0.641146,0.014789,10
combined_hard_shift,force_derivative_detector,intervention_cost,0.125918,0.004263,10
combined_hard_shift,force_derivative_detector,lead_time_margin,0.213817,0.003299,10
combined_hard_shift,force_derivative_detector,recovery_success,0.038542,0.008635,10
combined_hard_shift,force_derivative_detector,robust_utility,-0.290928,0.024274,10
combined_hard_shift,force_derivative_detector,task_success,0.114583,0.018946,10
combined_hard_shift,friction_cone_margin,auroc,0.538854,0.024527,10
combined_hard_shift,friction_cone_margin,average_precision,0.829412,0.015446,10
combined_hard_shift,friction_cone_margin,control_chatter,0.102570,0.001087,10
combined_hard_shift,friction_cone_margin,damage_rate,0.103646,0.017447,10
combined_hard_shift,friction_cone_margin,early_recall,0.931457,0.012126,10
combined_hard_shift,friction_cone_margin,ece,0.118617,0.013860,10
combined_hard_shift,friction_cone_margin,false_alarm_rate,0.915527,0.028258,10
combined_hard_shift,friction_cone_margin,gross_slip,0.480729,0.012645,10
combined_hard_shift,friction_cone_margin,intervention_cost,0.286353,0.001844,10
combined_hard_shift,friction_cone_margin,lead_time_margin,0.256738,0.002900,10
combined_hard_shift,friction_cone_margin,recovery_success,0.176042,0.014013,10
combined_hard_shift,friction_cone_margin,robust_utility,-0.117977,0.023536,10
combined_hard_shift,friction_cone_margin,task_success,0.246354,0.020076,10
combined_hard_shift,mpc_grip_stabilizer,auroc,0.521733,0.017631,10
combined_hard_shift,mpc_grip_stabilizer,average_precision,0.819823,0.014340,10
combined_hard_shift,mpc_grip_stabilizer,control_chatter,0.089855,0.001421,10
combined_hard_shift,mpc_grip_stabilizer,damage_rate,0.094271,0.015099,10
combined_hard_shift,mpc_grip_stabilizer,early_recall,0.941857,0.013084,10
combined_hard_shift,mpc_grip_stabilizer,ece,0.114674,0.010352,10
combined_hard_shift,mpc_grip_stabilizer,false_alarm_rate,0.913960,0.023922,10
combined_hard_shift,mpc_grip_stabilizer,gross_slip,0.421354,0.015701,10
combined_hard_shift,mpc_grip_stabilizer,intervention_cost,0.335799,0.003369,10
combined_hard_shift,mpc_grip_stabilizer,lead_time_margin,0.297193,0.001674,10
combined_hard_shift,mpc_grip_stabilizer,recovery_success,0.269792,0.021989,10
combined_hard_shift,mpc_grip_stabilizer,robust_utility,0.007873,0.022001,10
combined_hard_shift,mpc_grip_stabilizer,task_success,0.347396,0.022420,10
combined_hard_shift,normal_force_threshold,auroc,0.515110,0.034883,10
combined_hard_shift,normal_force_threshold,average_precision,0.821989,0.022636,10
combined_hard_shift,normal_force_threshold,control_chatter,0.012308,0.001847,10
combined_hard_shift,normal_force_threshold,damage_rate,0.142708,0.008500,10
combined_hard_shift,normal_force_threshold,early_recall,0.223355,0.031511,10
combined_hard_shift,normal_force_threshold,ece,0.443575,0.021696,10
combined_hard_shift,normal_force_threshold,false_alarm_rate,0.179280,0.045125,10
combined_hard_shift,normal_force_threshold,gross_slip,0.667708,0.026914,10
combined_hard_shift,normal_force_threshold,intervention_cost,0.083863,0.004509,10
combined_hard_shift,normal_force_threshold,lead_time_margin,0.176723,0.007581,10
combined_hard_shift,normal_force_threshold,recovery_success,0.011458,0.004764,10
combined_hard_shift,normal_force_threshold,robust_utility,-0.316410,0.026559,10
combined_hard_shift,normal_force_threshold,task_success,0.085938,0.013547,10
combined_hard_shift,optical_tactile_classifier,auroc,0.551731,0.022879,10
combined_hard_shift,optical_tactile_classifier,average_precision,0.822620,0.016394,10
combined_hard_shift,optical_tactile_classifier,control_chatter,0.096749,0.002191,10
combined_hard_shift,optical_tactile_classifier,damage_rate,0.115104,0.016422,10
combined_hard_shift,optical_tactile_classifier,early_recall,0.958751,0.010400,10
combined_hard_shift,optical_tactile_classifier,ece,0.102081,0.010473,10
combined_hard_shift,optical_tactile_classifier,false_alarm_rate,0.889388,0.035547,10
combined_hard_shift,optical_tactile_classifier,gross_slip,0.526042,0.019666,10
combined_hard_shift,optical_tactile_classifier,intervention_cost,0.270570,0.003704,10
combined_hard_shift,optical_tactile_classifier,lead_time_margin,0.257144,0.002266,10
combined_hard_shift,optical_tactile_classifier,recovery_success,0.119271,0.014149,10
combined_hard_shift,optical_tactile_classifier,robust_utility,-0.202346,0.020366,10
combined_hard_shift,optical_tactile_classifier,task_success,0.184375,0.019619,10
combined_hard_shift,oracle_precontact_risk,auroc,0.644783,0.024450,10
