variant,split,seed,episodes,success_rate,tail_risk,calibration_error
observed_only_behavior_clone,nominal,0,600,0.5867,0.4133,0.0063
observed_only_behavior_clone,nominal,1,600,0.5917,0.4083,0.0040
observed_only_behavior_clone,nominal,2,600,0.5717,0.4283,0.0101
observed_only_behavior_clone,nominal,3,600,0.5800,0.4200,0.0016
observed_only_behavior_clone,nominal,4,600,0.5867,0.4133,0.0085
observed_only_behavior_clone,nominal,5,600,0.5817,0.4183,0.0043
observed_only_behavior_clone,nominal,6,600,0.5950,0.4050,0.0159
observed_only_behavior_clone,hidden_mode_shift,0,600,0.3767,0.6233,0.0240
observed_only_behavior_clone,hidden_mode_shift,1,600,0.4017,0.5983,0.0063
observed_only_behavior_clone,hidden_mode_shift,2,600,0.4100,0.5900,0.0080
observed_only_behavior_clone,hidden_mode_shift,3,600,0.3683,0.6317,0.0303
observed_only_behavior_clone,hidden_mode_shift,4,600,0.4200,0.5800,0.0045
observed_only_behavior_clone,hidden_mode_shift,5,600,0.3750,0.6250,0.0227
observed_only_behavior_clone,hidden_mode_shift,6,600,0.4300,0.5700,0.0306
observed_only_behavior_clone,embodiment_shift,0,600,0.4483,0.5517,0.0150
observed_only_behavior_clone,embodiment_shift,1,600,0.4350,0.5650,0.0055
observed_only_behavior_clone,embodiment_shift,2,600,0.4383,0.5617,0.0037
observed_only_behavior_clone,embodiment_shift,3,600,0.4283,0.5717,0.0029
observed_only_behavior_clone,embodiment_shift,4,600,0.4333,0.5667,0.0147
observed_only_behavior_clone,embodiment_shift,5,600,0.4767,0.5233,0.0464
observed_only_behavior_clone,embodiment_shift,6,600,0.4083,0.5917,0.0237
observed_only_behavior_clone,combined_stress,0,600,0.3250,0.6750,0.0093
observed_only_behavior_clone,combined_stress,1,600,0.3100,0.6900,0.0129
observed_only_behavior_clone,combined_stress,2,600,0.3483,0.6517,0.0313
observed_only_behavior_clone,combined_stress,3,600,0.3250,0.6750,0.0113
observed_only_behavior_clone,combined_stress,4,600,0.3100,0.6900,0.0205
observed_only_behavior_clone,combined_stress,5,600,0.3233,0.6767,0.0107
observed_only_behavior_clone,combined_stress,6,600,0.3117,0.6883,0.0028
data_augmentation_wam,nominal,0,600,0.6200,0.3800,0.0183
data_augmentation_wam,nominal,1,600,0.6400,0.3600,0.0119
data_augmentation_wam,nominal,2,600,0.6250,0.3750,0.0062
data_augmentation_wam,nominal,3,600,0.6183,0.3817,0.0159
