method,mean_auroc,ci95_auroc,mean_average_precision,ci95_average_precision,mean_brier,ci95_brier,mean_ece,ci95_ece,mean_early_recall,ci95_early_recall,mean_false_alarm_rate,ci95_false_alarm_rate,mean_mean_lead_time,ci95_mean_lead_time,mean_grasp_success,ci95_grasp_success,mean_gross_slip,ci95_gross_slip,mean_damage,ci95_damage,mean_control_cost,ci95_control_cost,mean_alarm_rate,ci95_alarm_rate,units
force_only_precontact,0.52424,0.02023,0.75057,0.02085,0.28230,0.00572,0.28682,0.02342,0.00000,0.00000,0.10521,0.02270,0.00000,0.00000,0.00409,0.00284,0.99479,0.00324,0.14507,0.00272,0.48062,0.00903,0.11458,0.01575,28
full_precontact_microslip,0.50720,0.02330,0.74431,0.02761,0.21618,0.00997,0.13540,0.01280,0.83478,0.03075,0.84249,0.03239,0.08853,0.00327,0.22731,0.03820,0.77158,0.03847,0.26652,0.01521,0.93312,0.02266,0.83705,0.03013,28
minus_compliance_model,0.52573,0.02165,0.75430,0.02315,0.23724,0.00456,0.19168,0.01915,0.61827,0.02922,0.58881,0.03924,0.06802,0.00322,0.14807,0.03114,0.85119,0.03133,0.22094,0.00744,0.78168,0.01644,0.60789,0.02781,28
minus_friction_prior,0.54254,0.01929,0.76400,0.02289,0.21384,0.00947,0.13664,0.01373,0.80206,0.06035,0.75921,0.07156,0.08825,0.00664,0.20238,0.03987,0.79688,0.03981,0.25850,0.01911,0.89653,0.04136,0.78906,0.06281,28
minus_latency_margin,0.52699,0.02912,0.75528,0.02586,0.22373,0.00932,0.16172,0.01339,0.73074,0.04596,0.69001,0.05797,0.05264,0.00331,0.17076,0.03017,0.82850,0.03024,0.24469,0.01504,0.84972,0.03073,0.71949,0.04606,28
minus_precontact_shear,0.52579,0.02864,0.75591,0.03024,0.26979,0.00800,0.26253,0.01627,0.29720,0.05500,0.26181,0.05593,0.02676,0.00495,0.04613,0.00999,0.95275,0.00982,0.17088,0.01010,0.58838,0.03058,0.29055,0.05290,28
vision_only_precontact,0.54212,0.01952,0.76620,0.02302,0.26134,0.00574,0.23864,0.02110,0.27780,0.03218,0.21532,0.03879,0.02835,0.00329,0.04911,0.01264,0.95015,0.01257,0.17149,0.00566,0.58700,0.01975,0.26042,0.03147,28
