method,split,task,seed,episode,stress_level,label,risk,true_risk,mu,compliance,pre_shear,friction_margin,alarm,early_warning,lead_time,false_alarm,grasp_success,gross_slip,damage,control_cost,tightness
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,0,,1,0.661923,0.490144,0.160715,0.265103,0.323555,-0.141955,1,1,0.104623,0,1,0,0.195807,1.026612,0.714057
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,1,,0,0.577528,0.623739,0.240323,0.379845,0.310268,-0.055458,1,0,0.000000,1,1,0,0.182964,0.980204,0.667641
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,2,,0,0.436374,0.714296,0.307267,0.432551,0.374240,-0.038175,0,0,0.000000,0,0,1,0.126600,0.432810,0.419820
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,3,,1,0.425396,0.632360,0.246989,0.457712,0.257452,0.002186,0,0,0.000000,0,0,1,0.127770,0.430889,0.418063
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,4,,0,0.635002,0.673538,0.106416,0.215558,0.194443,-0.075292,1,0,0.000000,1,1,0,0.191331,1.012052,0.699251
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,5,,1,0.617386,0.778700,0.115730,0.411821,0.345114,-0.207366,1,1,0.103819,0,0,1,0.268447,1.002020,0.689562
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,6,,1,0.616472,0.701576,0.123809,0.419294,0.250476,-0.107159,1,1,0.107600,0,0,1,0.268485,1.001971,0.689059
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,7,,1,0.806546,0.762402,0.148333,0.440571,0.386232,-0.205376,1,1,0.104137,0,0,1,0.298428,1.106097,0.793600
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,8,,1,0.434771,0.581891,0.256925,0.292245,0.258931,0.039421,0,0,0.000000,0,0,1,0.127448,0.432382,0.419563
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,9,,1,0.516047,0.659616,0.138471,0.388358,0.231345,-0.070666,0,0,0.000000,0,0,1,0.127084,0.445328,0.432568
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,10,,1,0.454461,0.598360,0.186990,0.374988,0.239774,-0.002936,0,0,0.000000,0,0,1,0.128945,0.435488,0.422714
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,11,,1,0.550914,0.747280,0.175953,0.369174,0.305181,-0.108100,1,1,0.106259,0,0,1,0.258266,0.965754,0.653003
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,12,,1,0.823786,0.638729,0.110388,0.369382,0.310714,-0.184916,1,1,0.106808,0,1,0,0.221814,1.115899,0.803082
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,13,,1,0.540215,0.589320,0.234918,0.309192,0.261452,0.018263,1,1,0.106503,0,1,0,0.177274,0.959898,0.647118
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,14,,0,0.638457,0.595088,0.093299,0.376306,0.200714,-0.091446,1,0,0.000000,1,1,0,0.192359,1.013795,0.701152
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,15,,0,0.649996,0.590515,0.252243,0.356234,0.310712,-0.059839,1,0,0.000000,1,1,0,0.193902,1.020130,0.707498
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,16,,1,0.701806,0.654013,0.162998,0.511968,0.258983,-0.103790,1,1,0.105663,0,1,0,0.201190,1.048673,0.735993
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,17,,1,0.658775,0.752376,0.240774,0.452559,0.387842,-0.138483,1,1,0.104828,0,0,1,0.275056,1.024906,0.712326
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,18,,0,0.442655,0.681462,0.193271,0.371627,0.153713,0.057438,0,0,0.000000,0,0,1,0.126034,0.433515,0.420825
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,19,,1,0.635662,0.709040,0.211181,0.370369,0.359049,-0.131357,1,1,0.108065,0,0,1,0.271830,1.012582,0.699614
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,20,,0,0.566540,0.688644,0.080000,0.398911,0.287845,-0.200840,1,0,0.000000,1,0,1,0.261342,0.974281,0.661597
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,21,,0,0.600033,0.602589,0.245220,0.379846,0.281665,-0.014025,1,0,0.000000,1,1,0,0.186990,0.992633,0.680018
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,22,,0,0.812811,0.770439,0.154874,0.441112,0.452217,-0.260689,1,0,0.000000,1,0,1,0.299661,1.109848,0.797046
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,23,,1,0.650557,0.582091,0.268627,0.335123,0.312027,-0.018719,1,1,0.105202,0,1,0,0.193349,1.020431,0.707807
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,24,,0,0.402727,0.670598,0.274146,0.346360,0.318975,-0.018674,0,0,0.000000,0,0,1,0.127891,0.427102,0.414436
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,25,,1,0.804976,0.817922,0.129737,0.436660,0.328302,-0.179971,1,1,0.106103,0,0,1,0.298492,1.105469,0.792737
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,26,,1,0.661568,0.583819,0.091146,0.388424,0.246995,-0.153958,1,1,0.106087,0,1,0,0.196378,1.026593,0.713862
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,27,,0,0.655022,0.763863,0.138921,0.330751,0.355368,-0.177294,1,0,0.000000,1,0,1,0.275937,1.023236,0.710262
full_precontact_microslip,combined_hard_shift,smooth_low_friction_pick,0,28,,0,0.775332,0.669892,0.148042,0.344547,0.366466,-0.187426,1,0,0.000000,1,1,0,0.213853,1.089144,0.776433
