seed,method,average_precision,auroc,ece,early_recall,false_alarm_rate,lead_time_margin,task_success,gross_slip,damage_rate,intervention_cost,control_chatter,recovery_success,robust_utility
0,calibrated_precontact_microslip_v5,0.783327,0.520768,0.095135,0.943782,0.922652,0.358027,0.316406,0.419271,0.109375,0.340313,0.130130,0.236979,-0.039842
0,conformal_precontact_risk,0.790483,0.535394,0.081383,0.816014,0.806630,0.301235,0.242188,0.492188,0.100260,0.235645,0.061045,0.156250,-0.115109
0,ensemble_uncertainty_guard,0.803394,0.551874,0.095683,0.993186,0.988950,0.358637,0.313802,0.427083,0.092448,0.458256,0.186384,0.243490,-0.068442
0,force_derivative_detector,0.789224,0.552307,0.274029,0.434412,0.375691,0.257656,0.128906,0.592448,0.136719,0.119741,0.030893,0.035156,-0.251700
0,friction_cone_margin,0.761635,0.505906,0.113679,0.897785,0.933702,0.296801,0.253906,0.492188,0.100260,0.285324,0.100722,0.166667,-0.121092
0,mpc_grip_stabilizer,0.771396,0.526904,0.099696,0.923339,0.900552,0.337481,0.332031,0.408854,0.104167,0.333842,0.088364,0.242188,-0.010855
0,normal_force_threshold,0.795573,0.539582,0.411282,0.183986,0.165746,0.223763,0.095052,0.632812,0.138021,0.078674,0.010742,0.016927,-0.288152
0,optical_tactile_classifier,0.791302,0.531516,0.102978,0.955707,0.966851,0.297224,0.223958,0.502604,0.128906,0.278697,0.099156,0.140625,-0.167972
0,oracle_precontact_risk,0.849739,0.639905,0.022581,0.988075,0.983425,0.398588,0.618490,0.240885,0.055990,0.315335,0.074180,0.503906,0.378087
0,particle_friction_belief,0.792767,0.526415,0.092113,0.960818,0.961326,0.327389,0.253906,0.441406,0.100260,0.288883,0.099436,0.173177,-0.098271
0,precontact_microslip_v4,0.797049,0.562538,0.106533,0.962521,0.922652,0.368121,0.289062,0.438802,0.119792,0.421965,0.171982,0.208333,-0.099819
