comparison,metric,mean,ci95,lower95,upper95,better_seeds,n
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,average_precision,-0.001385,0.017096,-0.018481,0.015711,5,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,auroc,0.000185,0.029983,-0.029798,0.030168,4,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,ece,-0.124991,0.016573,-0.141564,-0.108418,0,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,early_recall,0.441062,0.017422,0.423640,0.458485,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,false_alarm_rate,0.489260,0.029869,0.459391,0.519129,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,lead_time_margin,0.052368,0.002284,0.050084,0.054652,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,task_success,0.179688,0.008808,0.170880,0.188495,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,gross_slip,-0.156641,0.022213,-0.178854,-0.134428,0,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,damage_rate,-0.028385,0.007933,-0.036318,-0.020453,0,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,intervention_cost,0.194868,0.003808,0.191060,0.198676,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,control_chatter,0.089307,0.002058,0.087250,0.091365,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,recovery_success,0.179948,0.006295,0.173653,0.186243,10,10
calibrated_precontact_microslip_v5_minus_vision_gap_threshold,robust_utility,0.204852,0.017859,0.186993,0.222712,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,average_precision,0.016672,0.016017,0.000655,0.032689,6,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,auroc,0.041814,0.027163,0.014651,0.068977,9,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,ece,-0.340278,0.014467,-0.354745,-0.325811,0,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,early_recall,0.757515,0.011111,0.746404,0.768626,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,false_alarm_rate,0.749831,0.028676,0.721155,0.778508,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,lead_time_margin,0.144924,0.003455,0.141468,0.148379,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,task_success,0.228125,0.009890,0.218235,0.238015,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,gross_slip,-0.216406,0.018426,-0.234832,-0.197980,0,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,damage_rate,-0.041536,0.007479,-0.049015,-0.034058,0,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,intervention_cost,0.260611,0.003103,0.257508,0.263715,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,control_chatter,0.119191,0.001722,0.117469,0.120913,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,recovery_success,0.232552,0.004963,0.227589,0.237515,10,10
calibrated_precontact_microslip_v5_minus_normal_force_threshold,robust_utility,0.263158,0.013752,0.249406,0.276910,10,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,average_precision,0.019594,0.016815,0.002780,0.036409,7,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,auroc,0.041202,0.031541,0.009660,0.072743,7,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,ece,-0.207127,0.015816,-0.222944,-0.191311,0,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,early_recall,0.513850,0.011333,0.502517,0.525183,10,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,false_alarm_rate,0.495059,0.022190,0.472869,0.517249,10,10
calibrated_precontact_microslip_v5_minus_force_derivative_detector,lead_time_margin,0.104463,0.001799,0.102663,0.106262,10,10
