seed,stress_level,method,average_precision,auroc,ece,early_recall,false_alarm_rate,lead_time_margin,task_success,gross_slip,damage_rate,intervention_cost,control_chatter,recovery_success,robust_utility
0,0.0,calibrated_precontact_microslip_v5,0.723309,0.546868,0.084310,0.853061,0.843478,0.601677,0.350000,0.352778,0.061111,0.311404,0.108303,0.200000,0.045006
0,0.0,conformal_precontact_risk,0.734125,0.547294,0.081922,0.714286,0.686957,0.543840,0.261111,0.388889,0.102778,0.206991,0.051104,0.105556,-0.046202
0,0.0,ensemble_uncertainty_guard,0.694606,0.518474,0.105287,0.979592,0.947826,0.602859,0.369444,0.341667,0.058333,0.448295,0.163829,0.219444,0.035424
0,0.0,force_derivative_detector,0.676129,0.500586,0.245636,0.355102,0.382609,0.495490,0.155556,0.494444,0.116667,0.104960,0.027248,0.033333,-0.171951
0,0.0,friction_cone_margin,0.734433,0.582644,0.094385,0.800000,0.678261,0.544145,0.272222,0.391667,0.072222,0.241133,0.077153,0.141667,-0.031897
0,0.0,mpc_grip_stabilizer,0.711113,0.576114,0.096129,0.759184,0.695652,0.580466,0.322222,0.383333,0.091667,0.274513,0.067044,0.200000,0.008050
0,0.0,normal_force_threshold,0.710685,0.540550,0.358244,0.159184,0.165217,0.439552,0.161111,0.544444,0.125000,0.067195,0.010140,0.022222,-0.174276
0,0.0,optical_tactile_classifier,0.700820,0.563656,0.139077,0.926531,0.852174,0.540146,0.275000,0.427778,0.102778,0.261803,0.086803,0.150000,-0.072860
0,0.0,oracle_precontact_risk,0.747507,0.595209,0.048310,0.877551,0.800000,0.636641,0.547222,0.225000,0.047222,0.275553,0.061365,0.369444,0.322764
0,0.0,particle_friction_belief,0.683680,0.499485,0.099451,0.877551,0.869565,0.570426,0.355556,0.380556,0.108333,0.265591,0.085187,0.177778,0.026619
0,0.0,precontact_microslip_v4,0.693820,0.554783,0.096147,0.869388,0.817391,0.610495,0.319444,0.355556,0.097222,0.381055,0.139419,0.186111,-0.016365
0,0.0,recovery_aware_grasp_mpc,0.688434,0.517196,0.118092,0.865306,0.826087,0.592158,0.411111,0.308333,0.088889,0.337718,0.087595,0.269444,0.114007
0,0.0,tactile_temporal_filter,0.702839,0.541402,0.165966,0.640816,0.547826,0.477054,0.211111,0.516667,0.130556,0.157942,0.043392,0.086111,-0.152491
0,0.0,vision_gap_threshold,0.686609,0.523798,0.156392,0.485714,0.417391,0.546688,0.194444,0.475000,0.136111,0.134432,0.037890,0.044444,-0.140042
0,0.2,calibrated_precontact_microslip_v5,0.755379,0.581471,0.057024,0.877470,0.841121,0.547125,0.330556,0.380556,0.075000,0.315721,0.111302,0.227778,0.008429
0,0.2,conformal_precontact_risk,0.784957,0.614643,0.061705,0.810277,0.728972,0.496421,0.288889,0.438889,0.130556,0.224810,0.056225,0.144444,-0.057366
0,0.2,ensemble_uncertainty_guard,0.773099,0.591075,0.081988,0.972332,0.962617,0.549166,0.344444,0.350000,0.080556,0.448152,0.167104,0.247222,-0.000544
0,0.2,force_derivative_detector,0.701526,0.473348,0.257592,0.407115,0.457944,0.445633,0.166667,0.533333,0.122222,0.116701,0.031683,0.041667,-0.186619
0,0.2,friction_cone_margin,0.772023,0.601234,0.072941,0.857708,0.747664,0.485940,0.280556,0.400000,0.094444,0.258516,0.084337,0.150000,-0.041633
0,0.2,mpc_grip_stabilizer,0.760580,0.549185,0.099176,0.822134,0.803738,0.526304,0.319444,0.375000,0.088889,0.300361,0.075114,0.197222,0.002313
0,0.2,normal_force_threshold,0.732349,0.532230,0.356721,0.169960,0.121495,0.390601,0.086111,0.569444,0.102778,0.066663,0.008537,0.002778,-0.249020
0,0.2,optical_tactile_classifier,0.777987,0.613756,0.120115,0.948617,0.925234,0.489226,0.277778,0.452778,0.133333,0.272325,0.091706,0.155556,-0.097745
0,0.2,oracle_precontact_risk,0.793369,0.647815,0.032612,0.940711,0.850467,0.583618,0.580556,0.216667,0.044444,0.291919,0.065389,0.419444,0.358360
0,0.2,particle_friction_belief,0.762323,0.575191,0.078661,0.916996,0.906542,0.514836,0.286111,0.411111,0.108333,0.275197,0.089444,0.177778,-0.058313
0,0.2,precontact_microslip_v4,0.773232,0.607403,0.061599,0.913043,0.841121,0.557865,0.313889,0.380556,0.119444,0.395655,0.147282,0.222222,-0.044890
0,0.2,recovery_aware_grasp_mpc,0.740190,0.544900,0.094739,0.905138,0.878505,0.539176,0.455556,0.313889,0.075000,0.353180,0.093610,0.316667,0.158678
