seed,method,average_precision,auroc,ece,early_recall,false_alarm_rate,lead_time_margin,task_success,gross_slip,damage_rate,intervention_cost,control_chatter,recovery_success,robust_utility
1,minus_friction_prior,0.807697,0.547252,0.103274,0.848586,0.856287,0.346530,0.256510,0.473958,0.109375,0.285754,0.099697,0.179688,-0.108124
1,minus_latency_margin,0.801432,0.548686,0.112717,0.980033,0.970060,0.280412,0.277344,0.486979,0.105469,0.300729,0.107376,0.187500,-0.099322
1,minus_precontact_shear,0.810532,0.546464,0.123560,0.788686,0.796407,0.324838,0.178385,0.548177,0.108073,0.229007,0.069975,0.111979,-0.206057
1,minus_recovery_model,0.831194,0.586368,0.065141,0.931780,0.928144,0.358114,0.261719,0.463542,0.111979,0.326754,0.128767,0.190104,-0.111797
1,minus_visual_gap,0.799455,0.559377,0.080347,0.948419,0.934132,0.339589,0.290365,0.455729,0.098958,0.311549,0.123924,0.213542,-0.070919
1,vision_only_precontact,0.798800,0.522104,0.203629,0.494176,0.491018,0.312910,0.141927,0.571615,0.132812,0.146868,0.042160,0.052083,-0.235965
2,force_only_precontact,0.773197,0.493419,0.297717,0.462562,0.473054,0.261836,0.118490,0.615885,0.122396,0.127318,0.034415,0.037760,-0.271359
2,full_precontact_microslip_v5,0.819826,0.573894,0.064684,0.943428,0.916168,0.361586,0.294271,0.424479,0.111979,0.337686,0.128576,0.230469,-0.062027
2,minus_calibration_layer,0.805142,0.543984,0.099708,0.985025,0.982036,0.384900,0.347656,0.398438,0.111979,0.472739,0.191187,0.250000,-0.029003
2,minus_compliance_model,0.819864,0.575548,0.084537,0.943428,0.898204,0.351278,0.309896,0.420573,0.104167,0.307638,0.101493,0.214844,-0.032503
2,minus_friction_prior,0.838087,0.584874,0.089013,0.861897,0.796407,0.352543,0.260417,0.493490,0.100260,0.283497,0.097971,0.182292,-0.107103
2,minus_latency_margin,0.831940,0.583648,0.090605,0.966722,0.946108,0.283246,0.307292,0.458333,0.100260,0.296475,0.104871,0.220052,-0.051587
2,minus_precontact_shear,0.799091,0.538205,0.149614,0.785358,0.754491,0.329253,0.204427,0.528646,0.095052,0.225562,0.068132,0.117188,-0.162909
2,minus_recovery_model,0.815668,0.547660,0.085742,0.935108,0.928144,0.362590,0.269531,0.498698,0.106771,0.327414,0.128475,0.190104,-0.118761
2,minus_visual_gap,0.817587,0.560154,0.084409,0.951747,0.946108,0.343391,0.273438,0.464844,0.122396,0.313120,0.124122,0.199219,-0.102784
2,vision_only_precontact,0.792406,0.548607,0.230026,0.542429,0.455090,0.310454,0.143229,0.546875,0.114583,0.151028,0.043660,0.067708,-0.214780
3,force_only_precontact,0.765675,0.516909,0.286710,0.452055,0.396739,0.256740,0.122396,0.604167,0.102865,0.122773,0.032504,0.035156,-0.251365
3,full_precontact_microslip_v5,0.797638,0.556572,0.076986,0.952055,0.891304,0.359248,0.305990,0.419271,0.089844,0.339408,0.129932,0.214844,-0.041248
3,minus_calibration_layer,0.785866,0.543897,0.138351,0.984589,0.961957,0.380414,0.296875,0.428385,0.079427,0.472859,0.191190,0.208333,-0.083218
3,minus_compliance_model,0.775255,0.540873,0.103639,0.926370,0.907609,0.348602,0.283854,0.458333,0.088542,0.307333,0.102170,0.188802,-0.073662
3,minus_friction_prior,0.792564,0.563030,0.103676,0.863014,0.809783,0.349945,0.255208,0.449219,0.092448,0.286617,0.099909,0.156250,-0.091868
3,minus_latency_margin,0.766973,0.515979,0.110694,0.982877,0.945652,0.280076,0.265625,0.429688,0.110677,0.301606,0.107430,0.187500,-0.088392
3,minus_precontact_shear,0.765753,0.513866,0.135934,0.789384,0.782609,0.330198,0.194010,0.536458,0.111979,0.230073,0.070565,0.096354,-0.188990
3,minus_recovery_model,0.789931,0.564501,0.087002,0.929795,0.880435,0.359750,0.244792,0.451823,0.100260,0.324272,0.126940,0.175781,-0.119006
3,minus_visual_gap,0.759580,0.518398,0.113406,0.936644,0.940217,0.339508,0.282552,0.467448,0.102865,0.312177,0.124173,0.184896,-0.089677
3,vision_only_precontact,0.765289,0.533651,0.204735,0.515411,0.451087,0.308877,0.167969,0.565104,0.136719,0.148048,0.042297,0.070312,-0.208873
4,force_only_precontact,0.793057,0.525185,0.271649,0.446701,0.429379,0.266015,0.152344,0.601562,0.123698,0.123731,0.032777,0.042969,-0.229742
4,full_precontact_microslip_v5,0.805640,0.577944,0.076093,0.939086,0.892655,0.364335,0.342448,0.421875,0.093750,0.335877,0.127768,0.253906,-0.005578
4,minus_calibration_layer,0.804700,0.574713,0.105783,0.983080,0.971751,0.385481,0.325521,0.428385,0.108073,0.472498,0.190263,0.240885,-0.065404
4,minus_compliance_model,0.811149,0.584445,0.079204,0.939086,0.881356,0.354181,0.273438,0.442708,0.114583,0.306568,0.101064,0.174479,-0.084976
4,minus_friction_prior,0.797398,0.561005,0.104545,0.840948,0.802260,0.353736,0.273438,0.472656,0.083333,0.280943,0.097008,0.191406,-0.078291
4,minus_latency_margin,0.803611,0.579617,0.086683,0.978003,0.943503,0.285393,0.320312,0.424479,0.092448,0.299606,0.106158,0.222656,-0.021602
4,minus_precontact_shear,0.783688,0.538865,0.126885,0.805415,0.768362,0.331338,0.204427,0.533854,0.101562,0.230665,0.069856,0.113281,-0.171318
4,minus_recovery_model,0.831629,0.586318,0.061184,0.934010,0.926554,0.365857,0.272135,0.429688,0.097656,0.328434,0.128608,0.190104,-0.081276
4,minus_visual_gap,0.825583,0.581223,0.077488,0.934010,0.898305,0.344427,0.272135,0.441406,0.098958,0.307037,0.120992,0.175781,-0.081793
4,vision_only_precontact,0.808351,0.567409,0.182209,0.553299,0.474576,0.320037,0.164062,0.563802,0.121094,0.154150,0.044822,0.076823,-0.207151
5,force_only_precontact,0.756244,0.502260,0.268266,0.442341,0.417112,0.252348,0.126302,0.596354,0.118490,0.123309,0.032829,0.031250,-0.251442
5,full_precontact_microslip_v5,0.783118,0.562648,0.076016,0.941480,0.925134,0.358635,0.335938,0.398438,0.098958,0.340837,0.131850,0.227865,-0.007452
5,minus_calibration_layer,0.801075,0.566109,0.111443,0.972461,0.957219,0.380582,0.319010,0.462240,0.089844,0.469031,0.191284,0.236979,-0.081445
5,minus_compliance_model,0.811519,0.591033,0.069142,0.939759,0.914439,0.349101,0.291667,0.438802,0.098958,0.310883,0.104259,0.190104,-0.062531
5,minus_friction_prior,0.806963,0.575129,0.094439,0.858864,0.786096,0.347011,0.253906,0.463542,0.088542,0.284021,0.099498,0.157552,-0.097480
5,minus_latency_margin,0.804584,0.578322,0.111817,0.972461,0.978610,0.280089,0.266927,0.416667,0.098958,0.302988,0.109201,0.173177,-0.078218
5,minus_precontact_shear,0.773123,0.506052,0.141821,0.757315,0.759358,0.324835,0.178385,0.536458,0.114583,0.223776,0.068628,0.088542,-0.203965
5,minus_recovery_model,0.796628,0.577954,0.066528,0.929432,0.914439,0.358482,0.270833,0.458333,0.100260,0.327801,0.130072,0.183594,-0.098913
5,minus_visual_gap,0.807722,0.583339,0.075286,0.956971,0.919786,0.339609,0.304688,0.455729,0.101562,0.314620,0.126086,0.209635,-0.061792
5,vision_only_precontact,0.807914,0.578571,0.185151,0.495697,0.395722,0.302600,0.147135,0.596354,0.144531,0.141842,0.039521,0.053385,-0.244718
6,force_only_precontact,0.766939,0.518828,0.277815,0.467577,0.417582,0.263416,0.145833,0.582031,0.143229,0.125556,0.033889,0.048177,-0.235520
6,full_precontact_microslip_v5,0.801876,0.553585,0.088638,0.940273,0.917582,0.364586,0.342448,0.438802,0.109375,0.339137,0.131204,0.252604,-0.023071
6,minus_calibration_layer,0.788704,0.535733,0.129224,0.989761,0.961538,0.385362,0.329427,0.445312,0.105469,0.474057,0.193643,0.235677,-0.069773
6,minus_compliance_model,0.781120,0.542025,0.083359,0.940273,0.912088,0.355117,0.264323,0.454427,0.106771,0.310086,0.104049,0.171875,-0.099450
6,minus_friction_prior,0.784286,0.542943,0.101936,0.870307,0.818681,0.354133,0.309896,0.467448,0.110677,0.288550,0.101626,0.196615,-0.054107
6,minus_latency_margin,0.795387,0.557186,0.124827,0.970990,0.961538,0.284729,0.270833,0.454427,0.105469,0.300542,0.108154,0.167969,-0.092960
6,minus_precontact_shear,0.782357,0.554833,0.135178,0.808874,0.730769,0.332511,0.230469,0.510417,0.125000,0.228912,0.069852,0.125000,-0.142929
6,minus_recovery_model,0.784705,0.552592,0.091982,0.955631,0.879121,0.364377,0.257812,0.473958,0.096354,0.329209,0.130650,0.179688,-0.115812
6,minus_visual_gap,0.783465,0.545391,0.101488,0.955631,0.912088,0.344560,0.279948,0.490885,0.110677,0.313016,0.125476,0.190104,-0.105635
6,vision_only_precontact,0.813076,0.568944,0.189057,0.503413,0.379121,0.317363,0.152344,0.565104,0.115885,0.141529,0.039517,0.044271,-0.211380
7,force_only_precontact,0.809652,0.544826,0.266129,0.446128,0.396552,0.254232,0.128906,0.625000,0.128906,0.121689,0.031841,0.039062,-0.264698
7,full_precontact_microslip_v5,0.777573,0.520860,0.093309,0.942761,0.913793,0.359255,0.354167,0.421875,0.072917,0.338289,0.129382,0.260417,0.014086
7,minus_calibration_layer,0.822933,0.559551,0.116194,0.989899,0.971264,0.381500,0.325521,0.415365,0.092448,0.474131,0.191799,0.247396,-0.052414
7,minus_compliance_model,0.788195,0.542542,0.088208,0.957912,0.931034,0.350868,0.256510,0.440104,0.110677,0.314082,0.104327,0.170573,-0.101941
7,minus_friction_prior,0.796214,0.558023,0.107112,0.853535,0.810345,0.346171,0.264323,0.454427,0.119792,0.283782,0.098323,0.182292,-0.094403
7,minus_latency_margin,0.782742,0.549915,0.096690,0.961279,0.948276,0.280315,0.283854,0.460938,0.096354,0.296668,0.105263,0.208333,-0.076166
7,minus_precontact_shear,0.796341,0.547980,0.134223,0.776094,0.706897,0.328853,0.214844,0.545573,0.117188,0.221475,0.066330,0.118490,-0.168373
7,minus_recovery_model,0.799281,0.560703,0.079033,0.944444,0.879310,0.358931,0.255208,0.428385,0.092448,0.326054,0.127697,0.173177,-0.092579
7,minus_visual_gap,0.815565,0.559387,0.082127,0.949495,0.931034,0.339723,0.264323,0.458333,0.106771,0.312454,0.124096,0.175781,-0.102922
7,vision_only_precontact,0.783613,0.537327,0.218898,0.498316,0.448276,0.303368,0.152344,0.572917,0.119792,0.145137,0.040965,0.074219,-0.219440
8,force_only_precontact,0.799869,0.507535,0.287026,0.453947,0.462500,0.252524,0.106771,0.643229,0.130208,0.125326,0.033671,0.026042,-0.298009
8,full_precontact_microslip_v5,0.821234,0.574681,0.076041,0.958882,0.906250,0.355610,0.346354,0.424479,0.105469,0.339335,0.130000,0.266927,-0.005981
8,minus_calibration_layer,0.801889,0.562315,0.101143,0.985197,0.981250,0.377019,0.298177,0.412760,0.109375,0.471544,0.191494,0.233073,-0.082621
8,minus_compliance_model,0.830019,0.562418,0.102026,0.958882,0.868750,0.345829,0.268229,0.432292,0.097656,0.307554,0.101511,0.197917,-0.074756
8,minus_friction_prior,0.813813,0.548540,0.119077,0.875000,0.837500,0.345181,0.273438,0.480469,0.101562,0.288544,0.100292,0.190104,-0.089727
8,minus_latency_margin,0.813871,0.584005,0.077510,0.973684,0.925000,0.275978,0.264323,0.451823,0.092448,0.295240,0.104633,0.197917,-0.085820
8,minus_precontact_shear,0.823761,0.543904,0.144435,0.802632,0.743750,0.326761,0.208333,0.520833,0.130208,0.226856,0.068198,0.144531,-0.168800
8,minus_recovery_model,0.825840,0.559930,0.075556,0.949013,0.918750,0.355605,0.292969,0.446615,0.098958,0.328615,0.129287,0.213542,-0.065673
8,minus_visual_gap,0.817071,0.576419,0.073765,0.952303,0.887500,0.336013,0.282552,0.451823,0.100260,0.307697,0.121949,0.207031,-0.073596
8,vision_only_precontact,0.815354,0.554944,0.222425,0.541118,0.443750,0.305830,0.138021,0.598958,0.111979,0.149853,0.043009,0.054688,-0.242577
9,force_only_precontact,0.797789,0.550575,0.277172,0.434856,0.367232,0.251294,0.118490,0.578125,0.109375,0.119023,0.030468,0.032552,-0.242960
9,full_precontact_microslip_v5,0.825299,0.607923,0.059899,0.942470,0.864407,0.354714,0.346354,0.416667,0.087240,0.334152,0.127419,0.260417,0.004949
9,minus_calibration_layer,0.791009,0.545967,0.112406,0.984772,0.983051,0.375976,0.320312,0.446615,0.093750,0.474569,0.191990,0.242188,-0.074309
9,minus_compliance_model,0.821692,0.580869,0.083254,0.945854,0.898305,0.344498,0.287760,0.471354,0.113281,0.309481,0.102503,0.201823,-0.085150
9,minus_friction_prior,0.788219,0.537851,0.119713,0.854484,0.807910,0.344077,0.270833,0.437500,0.093750,0.284194,0.098515,0.171875,-0.069340
9,minus_latency_margin,0.807076,0.565325,0.101252,0.978003,0.937853,0.274811,0.290365,0.458333,0.088542,0.299317,0.106267,0.200521,-0.065910
9,minus_precontact_shear,0.802254,0.550795,0.116055,0.783418,0.700565,0.321529,0.216146,0.520833,0.105469,0.222507,0.066762,0.121094,-0.150712
9,minus_recovery_model,0.801649,0.584158,0.066317,0.937394,0.903955,0.354206,0.240885,0.445312,0.093750,0.327262,0.128450,0.165365,-0.117325
9,minus_visual_gap,0.805987,0.580133,0.091330,0.945854,0.853107,0.335877,0.274740,0.437500,0.102865,0.305627,0.120590,0.174479,-0.076994
9,vision_only_precontact,0.778480,0.526791,0.210815,0.490694,0.474576,0.305988,0.151042,0.572917,0.110677,0.146125,0.041617,0.058594,-0.218407
