seed,method,average_precision,auroc,ece,early_recall,false_alarm_rate,lead_time_margin,task_success,gross_slip,damage_rate,intervention_cost,control_chatter,recovery_success,robust_utility
0,force_only_precontact,0.778078,0.523008,0.279890,0.454855,0.381215,0.261088,0.128906,0.602865,0.145833,0.122073,0.031752,0.029948,-0.261242
0,full_precontact_microslip_v5,0.790212,0.537370,0.087292,0.957411,0.944751,0.358047,0.313802,0.444010,0.098958,0.345325,0.132272,0.225260,-0.051896
0,minus_calibration_layer,0.794091,0.555620,0.131184,0.984668,0.972376,0.377956,0.334635,0.411458,0.104167,0.473791,0.191408,0.239583,-0.047704
0,minus_compliance_model,0.791626,0.542133,0.102095,0.952300,0.895028,0.348321,0.298177,0.434896,0.101562,0.310846,0.103149,0.208333,-0.053246
0,minus_friction_prior,0.785861,0.539309,0.104630,0.846678,0.823204,0.345110,0.263021,0.479167,0.114583,0.284400,0.098697,0.173177,-0.107208
0,minus_latency_margin,0.781528,0.545521,0.095557,0.964225,0.966851,0.277501,0.295573,0.425781,0.101562,0.300025,0.106750,0.199219,-0.052596
0,minus_precontact_shear,0.770645,0.507233,0.126501,0.795571,0.812155,0.326706,0.205729,0.505208,0.109375,0.232931,0.071564,0.126302,-0.162417
0,minus_recovery_model,0.787692,0.565032,0.072663,0.938671,0.928177,0.357983,0.261719,0.451823,0.106771,0.330206,0.129622,0.171875,-0.107399
0,minus_visual_gap,0.797951,0.524316,0.116902,0.952300,0.944751,0.338948,0.279948,0.449219,0.091146,0.315181,0.125164,0.194010,-0.078832
0,vision_only_precontact,0.770695,0.524090,0.192321,0.524702,0.480663,0.305734,0.164062,0.561198,0.136719,0.151136,0.043611,0.066406,-0.212425
1,force_only_precontact,0.782138,0.478972,0.297422,0.442596,0.485030,0.251892,0.135417,0.602865,0.162760,0.125829,0.033966,0.045573,-0.265238
1,full_precontact_microslip_v5,0.814672,0.550998,0.096904,0.918469,0.880240,0.358279,0.348958,0.425781,0.088542,0.329117,0.125479,0.257812,0.004982
1,minus_calibration_layer,0.811033,0.564708,0.108255,0.985025,0.988024,0.380576,0.342448,0.428385,0.083333,0.473476,0.192496,0.263021,-0.037027
1,minus_compliance_model,0.797098,0.546076,0.087508,0.936772,0.910180,0.348752,0.286458,0.462240,0.096354,0.307343,0.102068,0.196615,-0.073081
