method,metric,mean,ci95,n
force_only_precontact,auroc,0.516152,0.013563,10
force_only_precontact,average_precision,0.782264,0.010744,10
force_only_precontact,control_chatter,0.032811,0.000758,10
force_only_precontact,damage_rate,0.128776,0.011081,10
force_only_precontact,early_recall,0.450362,0.006120,10
force_only_precontact,ece,0.280980,0.006898,10
force_only_precontact,false_alarm_rate,0.422640,0.024673,10
force_only_precontact,gross_slip,0.605208,0.011915,10
force_only_precontact,intervention_cost,0.123663,0.001508,10
force_only_precontact,lead_time_margin,0.257139,0.003397,10
force_only_precontact,recovery_success,0.036849,0.004454,10
force_only_precontact,robust_utility,-0.257157,0.012217,10
force_only_precontact,task_success,0.128385,0.008345,10
full_precontact_microslip_v5,auroc,0.561647,0.014877,10
full_precontact_microslip_v5,average_precision,0.803709,0.010302,10
full_precontact_microslip_v5,control_chatter,0.129388,0.001319,10
full_precontact_microslip_v5,damage_rate,0.095703,0.007301,10
full_precontact_microslip_v5,early_recall,0.943632,0.007053,10
full_precontact_microslip_v5,ece,0.079586,0.007402,10
full_precontact_microslip_v5,false_alarm_rate,0.905228,0.014532,10
full_precontact_microslip_v5,gross_slip,0.423568,0.007619,10
full_precontact_microslip_v5,intervention_cost,0.337916,0.002655,10
full_precontact_microslip_v5,lead_time_margin,0.359430,0.002025,10
full_precontact_microslip_v5,recovery_success,0.245052,0.011431,10
full_precontact_microslip_v5,robust_utility,-0.017324,0.016193,10
full_precontact_microslip_v5,task_success,0.333073,0.012810,10
minus_calibration_layer,auroc,0.555260,0.007668,10
minus_calibration_layer,average_precision,0.800644,0.006975,10
minus_calibration_layer,control_chatter,0.191675,0.000561,10
minus_calibration_layer,damage_rate,0.097786,0.007142,10
minus_calibration_layer,early_recall,0.984448,0.002957,10
minus_calibration_layer,ece,0.115369,0.008226,10
minus_calibration_layer,false_alarm_rate,0.973047,0.006480,10
minus_calibration_layer,gross_slip,0.427734,0.011972,10
minus_calibration_layer,intervention_cost,0.472869,0.001007,10
minus_calibration_layer,lead_time_margin,0.380977,0.002123,10
minus_calibration_layer,recovery_success,0.239713,0.008688,10
minus_calibration_layer,robust_utility,-0.062292,0.012196,10
minus_calibration_layer,task_success,0.323958,0.010306,10
minus_compliance_model,auroc,0.560796,0.012642,10
minus_compliance_model,average_precision,0.802754,0.011566,10
minus_compliance_model,control_chatter,0.102659,0.000755,10
minus_compliance_model,damage_rate,0.103255,0.005119,10
minus_compliance_model,early_recall,0.944064,0.006221,10
minus_compliance_model,ece,0.088297,0.006940,10
minus_compliance_model,false_alarm_rate,0.901699,0.010943,10
minus_compliance_model,gross_slip,0.445573,0.009653,10
minus_compliance_model,intervention_cost,0.309181,0.001450,10
minus_compliance_model,lead_time_margin,0.349655,0.002063,10
minus_compliance_model,recovery_success,0.191537,0.009522,10
minus_compliance_model,robust_utility,-0.074130,0.012999,10
minus_compliance_model,task_success,0.282031,0.010153,10
minus_friction_prior,auroc,0.555796,0.009665,10
minus_friction_prior,average_precision,0.801110,0.010119,10
minus_friction_prior,control_chatter,0.099154,0.000819,10
minus_friction_prior,damage_rate,0.101432,0.007430,10
minus_friction_prior,early_recall,0.857331,0.006588,10
minus_friction_prior,ece,0.104742,0.005844,10
minus_friction_prior,false_alarm_rate,0.814847,0.012625,10
minus_friction_prior,gross_slip,0.467188,0.010264,10
minus_friction_prior,intervention_cost,0.285030,0.001468,10
minus_friction_prior,lead_time_margin,0.348444,0.002366,10
minus_friction_prior,recovery_success,0.178125,0.008428,10
minus_friction_prior,robust_utility,-0.089765,0.011025,10
minus_friction_prior,task_success,0.268099,0.010148,10
minus_latency_margin,auroc,0.560820,0.013489,10
minus_latency_margin,average_precision,0.798914,0.011388,10
minus_latency_margin,control_chatter,0.106610,0.000911,10
minus_latency_margin,damage_rate,0.099219,0.004284,10
minus_latency_margin,early_recall,0.972828,0.004409,10
minus_latency_margin,ece,0.100835,0.008835,10
minus_latency_margin,false_alarm_rate,0.952345,0.010195,10
minus_latency_margin,gross_slip,0.446745,0.013555,10
minus_latency_margin,intervention_cost,0.299320,0.001525,10
minus_latency_margin,lead_time_margin,0.280255,0.002176,10
minus_latency_margin,recovery_success,0.196484,0.011173,10
minus_latency_margin,robust_utility,-0.071257,0.014705,10
minus_latency_margin,task_success,0.284245,0.011812,10
minus_precontact_shear,auroc,0.534820,0.011508,10
minus_precontact_shear,average_precision,0.790755,0.011640,10
minus_precontact_shear,control_chatter,0.068986,0.001035,10
minus_precontact_shear,damage_rate,0.111849,0.006517,10
minus_precontact_shear,early_recall,0.789275,0.009485,10
minus_precontact_shear,ece,0.133421,0.006380,10
minus_precontact_shear,false_alarm_rate,0.755536,0.022565,10
minus_precontact_shear,gross_slip,0.528646,0.008816,10
minus_precontact_shear,intervention_cost,0.227176,0.002343,10
minus_precontact_shear,lead_time_margin,0.327682,0.002094,10
minus_precontact_shear,recovery_success,0.116276,0.009685,10
minus_precontact_shear,robust_utility,-0.172647,0.013006,10
minus_precontact_shear,task_success,0.203516,0.010116,10
minus_recovery_model,auroc,0.568522,0.008816,10
minus_recovery_model,average_precision,0.806422,0.011270,10
minus_recovery_model,control_chatter,0.128857,0.000681,10
minus_recovery_model,damage_rate,0.100521,0.003857,10
minus_recovery_model,early_recall,0.938528,0.005369,10
minus_recovery_model,ece,0.075115,0.006550,10
minus_recovery_model,false_alarm_rate,0.908703,0.013307,10
minus_recovery_model,gross_slip,0.454818,0.012879,10
minus_recovery_model,intervention_cost,0.327602,0.001043,10
minus_recovery_model,lead_time_margin,0.359590,0.002287,10
minus_recovery_model,recovery_success,0.183333,0.008463,10
minus_recovery_model,robust_utility,-0.102854,0.011242,10
minus_recovery_model,task_success,0.262760,0.009232,10
minus_visual_gap,auroc,0.558814,0.014424,10
minus_visual_gap,average_precision,0.802997,0.012073,10
minus_visual_gap,control_chatter,0.123657,0.001162,10
minus_visual_gap,damage_rate,0.103646,0.005177,10
minus_visual_gap,early_recall,0.948337,0.004713,10
minus_visual_gap,ece,0.089655,0.009750,10
minus_visual_gap,false_alarm_rate,0.916703,0.018456,10
minus_visual_gap,gross_slip,0.457292,0.009317,10
minus_visual_gap,intervention_cost,0.311248,0.002043,10
minus_visual_gap,lead_time_margin,0.340164,0.001919,10
minus_visual_gap,recovery_success,0.192448,0.009105,10
minus_visual_gap,robust_utility,-0.084494,0.009382,10
minus_visual_gap,task_success,0.280469,0.006871,10
vision_only_precontact,auroc,0.546244,0.012702,10
vision_only_precontact,average_precision,0.793398,0.011236,10
vision_only_precontact,control_chatter,0.042118,0.001090,10
vision_only_precontact,damage_rate,0.124479,0.007515,10
vision_only_precontact,early_recall,0.515926,0.014309,10
vision_only_precontact,ece,0.203927,0.010280,10
vision_only_precontact,false_alarm_rate,0.449388,0.022505,10
vision_only_precontact,gross_slip,0.571484,0.009755,10
vision_only_precontact,intervention_cost,0.147572,0.002541,10
vision_only_precontact,lead_time_margin,0.309316,0.003641,10
vision_only_precontact,recovery_success,0.061849,0.006669,10
vision_only_precontact,robust_utility,-0.221572,0.008769,10
vision_only_precontact,task_success,0.152214,0.006348,10
