stress_level,variant,mean_success,ci95_success
0.0,scalar_uncertainty_planner,0.6874,0.0127
0.0,conformal_risk_filter,0.7033,0.0100
0.0,proposed_branch_mechanism,0.7543,0.0146
0.0,oracle_branch_upper_bound,0.8088,0.0077
0.2,scalar_uncertainty_planner,0.6286,0.0146
0.2,conformal_risk_filter,0.6550,0.0088
0.2,proposed_branch_mechanism,0.7288,0.0141
0.2,oracle_branch_upper_bound,0.7883,0.0077
0.4,scalar_uncertainty_planner,0.5760,0.0169
0.4,conformal_risk_filter,0.6081,0.0088
0.4,proposed_branch_mechanism,0.6998,0.0156
0.4,oracle_branch_upper_bound,0.7707,0.0102
0.6,scalar_uncertainty_planner,0.5198,0.0166
0.6,conformal_risk_filter,0.5624,0.0084
0.6,proposed_branch_mechanism,0.6726,0.0170
0.6,oracle_branch_upper_bound,0.7545,0.0101
0.8,scalar_uncertainty_planner,0.4643,0.0160
0.8,conformal_risk_filter,0.5148,0.0113
0.8,proposed_branch_mechanism,0.6414,0.0165
0.8,oracle_branch_upper_bound,0.7324,0.0120
1.0,scalar_uncertainty_planner,0.4107,0.0187
1.0,conformal_risk_filter,0.4710,0.0154
1.0,proposed_branch_mechanism,0.6148,0.0143
1.0,oracle_branch_upper_bound,0.7155,0.0107
